"R0000100","R0357900","R0358200","R0358300","R0358500","R0358700","R0359500","R0536300","R0536401","R0536402","R1235800","R1482600","R9792900","R9793400","R9793500","R9793600","R9793700","R9793800","R9793900"
1,1,-4,1,0,-4,0,2,9,1981,1,4,85,-4,-4,-4,-4,350,470
2,0,-4,0,-4,-4,0,1,7,1982,1,2,-3,-4,-4,-4,-4,460,440
3,0,-4,1,0,-4,0,2,9,1983,1,2,-4,-4,-4,-4,-4,-4,-4
4,0,-4,1,1,0,0,2,2,1981,1,2,74,-4,-4,-4,-4,-4,-4
5,1,1,1,1,3,0,1,10,1982,1,2,75,-4,-4,-4,-4,-4,-4
6,0,-4,0,-4,-4,0,2,1,1982,1,2,55,-4,-4,-4,-4,-4,-4
7,0,-4,0,-4,-4,0,1,4,1983,1,2,-4,-4,-4,-4,-4,-4,-4
8,0,-4,0,-4,-4,0,2,6,1981,1,4,81,-4,-4,-4,-4,620,620
9,0,-4,0,-4,-4,0,1,10,1982,1,4,85,-4,-4,-4,-4,380,460
10,0,-4,0,-4,-4,0,1,3,1984,1,4,90,-4,-4,-4,-4,600,560
11,1,-4,1,0,-4,0,2,6,1982,1,2,80,-4,-4,-4,-4,-4,-4
12,0,-4,0,-4,-4,0,1,10,1981,1,2,63,-4,-4,-4,-4,-4,-4
13,0,-4,0,-4,-4,0,1,11,1984,1,2,59,-4,-4,-4,-4,-4,-4
14,0,-4,0,-4,-4,0,1,7,1980,1,2,-4,-4,-4,-4,-4,-4,-4
15,0,-4,0,-4,-4,0,2,1,1983,1,2,3,-4,-4,-4,-4,-4,-4
16,1,-4,1,2,0,0,1,2,1982,1,2,60,-4,-4,-4,-4,-4,-4
17,1,-4,0,-4,-4,1,2,11,1981,1,2,-3,-4,-4,-4,-4,-4,-4
18,0,-4,1,0,-4,0,1,2,1982,1,1,-4,-4,-4,-4,-4,-4,-4
19,0,-4,0,-4,-4,1,1,4,1984,1,1,19,-4,-4,-4,-4,-4,-4
20,0,-4,1,0,-4,0,1,12,1980,1,1,-4,-4,-4,-4,-4,-4,-4
21,1,1,1,4,2,0,1,8,1982,1,2,56,-4,-4,-4,-4,-4,-4
22,1,20,1,2,2,0,1,6,1982,1,2,-4,-4,-4,-4,-4,-4,-4
23,0,-4,0,-4,-4,0,2,1,1983,1,2,76,-4,-4,-4,-4,-4,-4
24,0,-4,0,-4,-4,0,1,6,1984,1,2,-4,-4,-4,-4,-4,-4,-4
